Users,Comments,Labels
Amir,"RT @PTIOfficialISB: Information Minister @shiblifaraz has exposed the propaganda of PDM.

PDM is just trying another attempt to pressuriseÖ",DisAgree
Amir Muaviya Bin Sufian,Prime Minister Imran Khan is the integrity and face of Pakistan,DisAgree
Amir Zia,"#PDM stands confused, divided... one group of leaders say that their prime target is Prime Minister @ImranKhanPTI,Ö https://t.co/cQ0cwj6Tmy",DisAgree
Amjad Khan,"RT @hansbadvi: I Reject PDM From Karachi

#PakistanRejectsPDM",DisAgree
Anaya Noor,reject PDM,DisAgree
Anaya Noor,reject PDM,DisAgree
Anees Pasha,"As long as there is ignorance in Pakistan like this, millions of people like Imran khan can't stabilize Pakistan nor it can progress like other Nations did.",DisAgree
Ani khan,RT @PTIofficial: PDM was an unnatural alliance now meeting its fate as it had no public interest as its goal. It was a ìPapa Bachaoî campaiÖ,DisAgree
Anis Ur Rahman,Reject PDM,DisAgree
Anis Ur Rahman,Reject PDM,DisAgree
Anser Akrum,RT @ErummKhan: Not only Pakistan ... Parties in PDM also rejects each other #PakistanRejectsPDM,DisAgree
Anum Abdulwahab,Get lost u fuzool ka Maulana. What have u given to even your own constituents? Nil,DisAgree
Anwar,RT @PTIofficial: PDM was an unnatural alliance now meeting its fate as it had no public interest as its goal. It was a ìPapa Bachaoî campaiÖ,DisAgree
Anwar Ali,Polana pagall ho geya je.,DisAgree
Anwar Ali Khan Advocate,RT @PTIofficial: Pakistanis are a politically aware nation. They cannot be manipulated anymore by PMLN and PPP's PR stunts. PM Khan makes dÖ,DisAgree
APP ????,"#Broadsheet Company case exposed #corruption of political elite: @ShazadAkbar 

#APPNews #PDM @MoIB_OfficialÖ https://t.co/EuRoGlkUcq",DisAgree
APP ????,"#Opposition movement, just a failed rescue operation; lacks moral justification: @fawadchaudhry 

#APPNews #PDMÖ https://t.co/XZthdaK3tk",DisAgree
ARÍej Tah?r,Reject PDM,DisAgree
ARÍej Tah?r,Reject PDM,DisAgree
Arif Hameed Bhatti,"RT @KhaberToday: PPP Will Not Go Along PDM March Towards Rawalpindi Or GHQ - Arif Hameed Bhatti
@arifhameed15 
#PPP
#PDM

https://t.co/r5mAÖ",DisAgree
arif lodhi,Deceiving his base minions by showing them his affinity for the #Taliban ; Molana #FazlurRehman is found involved eÖ https://t.co/x2skpyxdy3,DisAgree
Arsalan Husane,DIS LIKE THIS VIDEO,DisAgree
Arsalan Younus,Flop show.real leader Imran khan,DisAgree
Arshad Khan,reject PDM,DisAgree
Arshad Khan,reject PDM,DisAgree
Arshad Yousafzai,Bijli r gas ap k dor sy hi ja rhi h madam g ap ny humy kn sa sakon diya h,DisAgree
Arshid Rayoo,Ghando speaking,DisAgree
asad butt,"RT @AmirZia1: #PDM stands confused, divided... one group of leaders say that their prime target is Prime Minister @ImranKhanPTI, while theÖ",DisAgree
ASAD USMANI,"GREAT PM IMRAN KHAN
#PDM KICKOUT BY ALL PUBLIC 98% SUCKERS LOOSERS BUZZOFF https://t.co/nT7tbXodsS",DisAgree
ASAD USMANI,nawaz corrupt convict traitor LAUNDERER RANAWAY RAT LOOTED PUNJAB PUBLIC RETURN MONEY OR AUCTION ALL ASSETSÖ https://t.co/kVl1Iql2SU,DisAgree
Asfandyar Khan(Asfii),"RT @MubasharShahzad: #Indians, Ani-Pakistanis, #PMLN and #PPP and #PDM and Modi-Media altogether are tweeting #????_????_??? and standing aÖ",DisAgree
Asghar Khan,Diesel won't be able to hide his corruption. This corrupt mullah will meet his end soon. His last days will be in the prison for his rampant corruption and comment against the state on the behest of his masters who are paying him. He is a soulless thinÖ,DisAgree
Ash (The Professor),"The problem was, he was naive. He did not realise the extent of the corruption of the PPP and PMLN and the destructÖ https://t.co/79ynyr3Sfc",DisAgree
asif ali,reject PDM,DisAgree
asif ali,reject PDM,DisAgree
Asif Aurangzeb Khan,Carry on amending for another two and a half years,DisAgree
Asif Rashid,"RT @MunibISF: #PPP_PMLN_FundingExposed
A perfect example of ""Theif threating the constable"" is the attitude of PMLN &amp; PPP. 
The famous frauÖ",DisAgree
Asim Arsalan,A dead March will be lead by clowns,DisAgree
Asim Arsalan,A dead March will be lead by clowns,DisAgree
Aslam Kanara,reject PDM,DisAgree
Aslam Kanara,reject PDM,DisAgree
Asma Mehnaz Mehdi,Foolish woman,DisAgree
Aswajutt,RT @PTIOfficialRWP: Money laundering through party funding exposed #PPP_PMLN_FundingExposed https://t.co/OvUWFAMFaz,DisAgree
Aswajutt,RT @PTIOfficialRWP: Incomplete records are being provided to hide foreign funding. #PPP_PMLN_FundingExposed https://t.co/UoehVkvRap,DisAgree
Aswajutt,"RT @PTIOfficialRWP: Donít show the hypocrisy.
Face the accountability in Election commission. #PPP_PMLN_FundingExposed https://t.co/W7iBz0GÖ",DisAgree
Ata Ur Rehman Bk,Goo goo goo,DisAgree
Atif Ali,Fresh! Charter of democracy. Created to serve (so called) PDM.,DisAgree
Atif Daud,RT @Ch_Minahal: Prime Minister Imran Khan has said that the people of Lahore rejected the PDM show and made a big decision. PML-N and PPP bÖ,DisAgree
Atif Daud,RT @Ch_Minahal: Prime Minister Imran Khan has said that the people of Lahore rejected the PDM show and made a big decision. PML-N and PPP bÖ,DisAgree
Atta Ur Rahman,"RT @zartajgulwazir: The scattered Opposition parties have totally lost the plot. Their circus show reeks of hypocrisy.

Meaningless small pÖ",DisAgree
Atta Ur Rehman,"RT @hansbadvi: I Reject PDM From Karachi

#PakistanRejectsPDM",DisAgree
Atta Ur Rehman,"RT @U_3322: Imran Khan became the Prime Minister by the power of vote. No power in the world can remove it without any reason.
#PakistanReÖ",DisAgree
Atta Ur Rehman,RT @Navy_Maurya: #PakistanRejectsPDM and entrust @ImranKhanPTI led government. https://t.co/MitkWRfeMP,DisAgree
Atta Ur Rehman,RT @PTIofficial: PDM was an unnatural alliance now meeting its fate as it had no public interest as its goal. It was a ìPapa Bachaoî campaiÖ,DisAgree
Attaullah Attaullah Khan Swat,Reject PDM,DisAgree
Attaullah Attaullah Khan Swat,Reject PDM,DisAgree
Awais Gilani,"First they abuse them &amp; now they r seeking for their support

#PakistanRejectsPDM https://t.co/nRXH8T9HVA",DisAgree
Awais zaidi,RT @PTIofficial: PDM was an unnatural alliance now meeting its fate as it had no public interest as its goal. It was a ìPapa Bachaoî campaiÖ,DisAgree
Ayaz Noorani,He had also rejected 2018 election as rigged one but then again begged for votes of the same rigged assembly for presidential election. HYPOCRICY is quite typically characteristic of him,DisAgree
Azhar Jhedu,"RT @JheduMalik: My name is sadaqat And i Reject PDM
@Hum_IVF
#PakistanRejectsPDM",DisAgree
Baaghi TV ???? ?? ??,"Fawad Chaudhry criticises opposition for maligning state institutions
https://t.co/XLTVKa1lgV
#FawadChaudhry #PDM",DisAgree
Bad man the ..... Mombatti !!!,"RT @AmirZia1: #PDM stands confused, divided... one group of leaders say that their prime target is Prime Minister @ImranKhanPTI, while theÖ",DisAgree
Balochistan,"ìWe are aware about the internal differences of #PDMî
@SMQureshiPTI 

ìAll the interests and eyes of All the MinistÖ https://t.co/K87Q1SPx2D",DisAgree
Bandar Bant,Hahaha hai he jhoti orat. Kisi dor main isy bat nhi ati thi aj dekho abu ne asi trbiat ke hai. Abu sair bati sawa sair wo b jhot bolny main. Hehehe,DisAgree
Bashir Ahmed,emran kota,DisAgree
Bedi Khan,Calebri Rani.... an outlaw herself daughter of an absconder lecturing masses and elected government...a corrupt family to the core,DisAgree
Bilal Ibrahim Kamboh,beshak PDM... or choroon.... ki kahani khatam..,DisAgree
Burhan Hashmi,I am still waiting for his death which was supposed to happen around a year ago.,DisAgree
Cafe Pyala,"RT @zartajgulwazir: The scattered Opposition parties have totally lost the plot. Their circus show reeks of hypocrisy.

Meaningless small pÖ",DisAgree
Cafe Pyala,"RT @PTIOfficialISB: PDM tried to put pressure on government by creating chaos but they didn't know Khan well.

Khan clearly said no to NROÖ",DisAgree
Ch Anees Watna,Reject PDM,DisAgree
Ch Anees Watna,Reject PDM,DisAgree
Ch Umar,Reject PDM,DisAgree
Ch Umar,Reject PDM,DisAgree
Champ,RT @MishelKhan12: @MaleehaHashmey #PDM Pakistan Daku Movement flops all their planning fails against Pakistan. Long live Prime Minister ImrÖ,DisAgree
Channel 9,Reject PDM,DisAgree
Channel 9,Reject PDM,DisAgree
Chaudhary U?er !,"RT @nazar_lahori: #PakistanRejectsPDM
Let me say this today Allah is with us and we believe in his commands. He gave us hope in shape of ImÖ",DisAgree
Chotu NaIn,Mix achar party,DisAgree
choudhary Shujat Ali,"13 more years of Imran Khan, Inshallah!",DisAgree
Chudhary Hamza,reject PDM,DisAgree
Chudhary Hamza,reject PDM,DisAgree
Danesh Khan,"RT @hansbadvi: I Reject PDM From Karachi

#PakistanRejectsPDM",DisAgree
Danish bhatt kashmiri,RT @PTIOfficialRWP: The leading person of PDM is also alleged of making corruption thatís why #PakistanRejectsPDM https://t.co/bakwhRLCrH,DisAgree
Danish bhatt kashmiri,"RT @hansbadvi: I Reject PDM From Karachi

#PakistanRejectsPDM",DisAgree
Danish bhatt kashmiri,RT @PTIofficial: PDM was an unnatural alliance now meeting its fate as it had no public interest as its goal. It was a ìPapa Bachaoî campaiÖ,DisAgree
Dark Money USA,"RT @appcsocialmedia: #Broadsheet Company case exposed #corruption of political elite: @ShazadAkbar 

#APPNews #PDM @MoIB_Official 

https:Ö",DisAgree
Dawood Ahmed,As fazlo ki wajha sa logo na madrasoo ko chanda dahna band kar diya,DisAgree
Deen Mohammad Attari Bangulzai,God molana sb,DisAgree
Dildar Shah,Jhota gadar,DisAgree
Dr Awan,"RT @Muhamma69542263: Just wonder, 
This is Corruption Of One Family. $ 870 M.
Almost Everyone in Pmln and PPP has Looted Pakistan mercilessÖ",DisAgree
"Dr FAB, MD",#US to invest heavily into @BBhuttoZardari as next PM of #Pakistan as per discretion of aunt @HillaryClinton underÖ https://t.co/Jo3fOrNxFr,DisAgree
Dr Naeem Mughal,"#PakistanRejectsPDM

I, Naeem Mughal from UK, reject PDM https://t.co/Psk862Hnvf",DisAgree
Dr Zulfiqar Ahmed,"RT @92newschannel: Sheikh Rasheed terms Broadsheet as a case like Panama #sheikhrasheed #PDM #Panama
https://t.co/x61efApabX https://t.co/tÖ",DisAgree
Dr. Asma,"Power does not corrupt the people,people corrupt power. Therefore corruption does not wins more then honesty..Ö https://t.co/CsNG8ZQFwW",DisAgree
Dr. Farooq Buzdar????,RT @PTIofficial: PDM was an unnatural alliance now meeting its fate as it had no public interest as its goal. It was a ìPapa Bachaoî campaiÖ,DisAgree
Ejaz Ul Haq,Agr Imran ki hakumat nakaam hogayi to Pakistan nahi bachay ga.. tamam Pakistanion ko chahiye kay Imran kay haath mazboot karein aur in choron ko kaifir e kirdar tak pohanchanay me apna kirdaar adaa karain.. Pakistan Zindabaad.,DisAgree
ELPatron IK?? ????????,RT @Waleedadnan9: I Mohammad Waleed Adnan reject PDM from Lahore. But urges Imran Khan to improve governance and control Electricity PricesÖ,DisAgree
Emran Khaan,"He is a nut , he is actually reminding us of names of the year. First he said December then January and now February , He is an effeminate . Neither male nor female , stuck in between . How can he be the PM when he himself is not good at Urdu , our moÖ",DisAgree
Enigmatic Dx Faiz,Bewaquf Orat Pakistan ki Import me kami Ayi he. Or eb Pakistani Awaam apni industry laga rahy hen. Js ka result any waly kuch arsa me nazer aye ga..,DisAgree
Ershad Bhatti,"I hate pdm 
Love Great Pm imran Khan ??
#PakistanRejectsPDM",DisAgree
Ershad Bhatti,"I hate pdm 
Love Great Pm imran Khan ??
#PakistanRejectsPDM",DisAgree
Erum Zaeem,Not only Pakistan ... Parties in PDM also rejects each other #PakistanRejectsPDM,DisAgree
Faisal Adnan,Haan haan lahori bi ab jante hain tum choro ko,DisAgree
Faisal Zuberi,Bunch of jockers and non serious politicians running the country. Learn political maturity from Indian Politicians when it comes to national interest.,DisAgree
Faiza Umer,RT @PTIofficial: Pakistanis are a politically aware nation. They cannot be manipulated anymore by PMLN and PPP's PR stunts. PM Khan makes dÖ,DisAgree
Faizan Ahmed,He has only himself to blame .. Maybe he needs to change his disposition on life never seen a more entitled person in this country so unhappy n disparaging..,DisAgree
Faizan Arif,....and now DAWN will support this dajjali,DisAgree
Fan Of Imran Khan?,"I Rejects PDM from Karachi 

#PakistanRejectsPDM",DisAgree
Faraz Ali,"RT @LiaquatIVF: Pakistan is moving forward under Imran Khan's regime.
1.Textile sector running at its full capacity after 30 years
2.PakistÖ",DisAgree
Faraz Ali,"RT @AliRazaTweets: #PakistanRejectsPDM

Fazal-ur-Rehman wants to become MNA
Nawaz Sharif wants his re-entry in politics
Asif Zardari wantsÖ",DisAgree
Fareeya khan,Reject PDM,DisAgree
Fareeya khan,Reject PDM,DisAgree
Farhan A,Belkul maza nhi aya ap jasy makar urat k moo .????,DisAgree
Farhan Ali Shammas,Awam suchy leaders ky sath hoti hain cohro lutero ky sath sirf piso sy kharidy huy tatu hoty hain,DisAgree
Farid Khan,Geo Khan geo pti,DisAgree
Farid Khan,Geo Khan geo pti geo Pakistan,DisAgree
Farid Khan,Ro ro pdm ro,DisAgree
FaRida KaKar,I am the selector of Imran khan ??????????????????,DisAgree
Farooq Aftab,"Bilawal, and what sort of democracy is this where your party chairmanship is limited only to your family? So sad, that you still don't wear a contrite expression on your face while talking about democracy.",DisAgree
Farooq Nasir,"BILLY THE BRAINLESS BABY,A PRODUCT OF CORRUPTION HAS BEEN LICKING THE WRONG SIDE OF THE LOLLIPOP WHICH HE WAS GIVEN",DisAgree
Faryyad Ahmad,"RT @ZaidiiG7: #PPP_PMLN_FundingExposed
Real story of Pdm behind protests against #PTIGovernment in front of election commission
#?????_???_Ö",DisAgree
Faseeh Qazi,30 Sal KY bad bi awam ko bykof na bnaw,DisAgree
Fatima Ch,Hahaha dikhh k jhhoot bolo Jo koi man ly... Jilssah flap hogia,DisAgree
Fatima Haroon,reject PDM,DisAgree
Fatima Haroon,reject PDM,DisAgree
Fatima Khan,The scare of #PDM is clear as #ImranKhan plots to thwart the crowd swell. #ImranKhanPTI govt can impose ban on theÖ https://t.co/fo203bLuPx,DisAgree
Fayyaz Tareen,Civilian supremaciy will not come until we have these looters corrupt incompetent liar politicians they all born in the lap of stablishment now they disown them so they talking abt civil supremaciy our politians political parties needs to get their acÖ,DisAgree
Fazal Ghaffar,PDM is absolutely flop.Pakistan ka sathiya naas kia hai aap jaisay choro nay.shame,DisAgree
Foramen Luschka,Mix achar of dacoits movement.,DisAgree
Foramen Luschka,Mix achar of dacoits movement.,DisAgree
ghani baba kalli,Reject PDM,DisAgree
ghani baba kalli,Reject PDM,DisAgree
GhazalaBaji,"RT @Hum_IVF: InShaa Allah 
Tuesday Morning 10Am

IVF Will Lead HT
#PakistanRejectsPDM",DisAgree
Ghulam Sarwar48,reject PDM,DisAgree
Ghulam Sarwar48,reject PDM,DisAgree
gyan Hai To Jaan Hai,reject PDM,DisAgree
gyan Hai To Jaan Hai,reject PDM,DisAgree
H ¬lÓ T?—H?,RT @Navy_Maurya: #PakistanRejectsPDM and entrust @ImranKhanPTI led government. https://t.co/MitkWRfeMP,DisAgree
H ¬lÓ T?—H?,"RT @zartajgulwazir: The scattered Opposition parties have totally lost the plot. Their circus show reeks of hypocrisy.

Meaningless small pÖ",DisAgree
H ¬lÓ T?—H?,RT @PTIofficial: PDM was an unnatural alliance now meeting its fate as it had no public interest as its goal. It was a ìPapa Bachaoî campaiÖ,DisAgree
H ¬lÓ T?—H?,RT @ErummKhan: Not only Pakistan ... Parties in PDM also rejects each other #PakistanRejectsPDM,DisAgree
H ¬lÓ T?—H?,"My name is Ali
I Reject PDM From Karachi

#PakistanRejectsPDM",DisAgree
Hafiz Usama Abubakar,"RT @1__Usama: #PakistanRejectsPDM

Prime Minister Imran Khan has been striving hard to uplift weaker segment of the society, while the oppoÖ",DisAgree
Hafiz Usama Abubakar,"RT @nazar_lahori: #PakistanRejectsPDM
Let me say this today Allah is with us and we believe in his commands. He gave us hope in shape of ImÖ",DisAgree
Haji Gul Qaisrani,"11,Siasi sudager nikly hn Khan ko hatany, nakam hungy.",DisAgree
Hakim Khan,"Mahmood khan achakzai is once again using pashtoon as a political tools 4 the Punjabi politicians,raising the voiceÖ https://t.co/2yf6fiEAyH",DisAgree
Hakim Sandhu,Tmy hakomat ni mily gi ab maolana,DisAgree
Haley Noor,"RT @InsafianChokra: Bilawal's withdrawal from protest is clear. PDM itself is not on one page
The PDM will soon fall into the mire of foreiÖ",DisAgree
Hamdam,RT @PTIofficial: PDM was an unnatural alliance now meeting its fate as it had no public interest as its goal. It was a ìPapa Bachaoî campaiÖ,DisAgree
Hamid Khan K Khan,IMRAN KHAN ZINDABAD,DisAgree
Hamid Murtaza Khan Lodhi,"RT @Hum_IVF: InShaa Allah 
Tuesday Morning 10Am

IVF Will Lead HT
#PakistanRejectsPDM",DisAgree
Hamid Murtaza Khan Lodhi,"RT @Hum_IVF: InShaa Allah 
Tuesday Morning 10Am

IVF Will Lead HT
#PakistanRejectsPDM",DisAgree
Hamid Murtaza Khan Lodhi,"RT @JheduMalik: My name is sadaqat And i Reject PDM
@Hum_IVF
#PakistanRejectsPDM",DisAgree
Hamid Nowab,"For PDM under construction, the planning is in progress to make hues &amp; cries. Of course then thereíll be time to reÖ https://t.co/QidsLB7I7W",DisAgree
Hamza Ibrahim,Flop show,DisAgree
Hamza Mobiles,reject PDM,DisAgree
Hamza Mobiles,reject PDM,DisAgree
Harjeet Insan?????,"RT @BlissfulSahir: When you reach the end of your rope, tie a knot in it and hang on.

-Franklin D. Roosevelt

#imrankhanPTI 
#PTI 
#PAKISTÖ",DisAgree
Haroon Qureshi,With every new scandal - #PMLN leaders fall to new low - #NawazSharif is lucky that he got so disgusting people.Ö https://t.co/hzmnTA2kYI,DisAgree
Harris Vohra,Mulana gando ...shakal pr he phetkaar hai,DisAgree
Hasan Ali,reject PDM,DisAgree
Hasan Ali,reject PDM,DisAgree
Hasham Qazi,Apny k antenatal main apni sab sulat rkh kar bhoki payasi awam mari ja rhi bechri awam ko pta hi nai in ko apni sets chaye,DisAgree
Hashim Ali Khann,Must be arrest ...new train chale plz,DisAgree
Hashim Rana,And there were no freedom in last PPP and PLMN govt as well even peoples were not known their rights.This is Khan He show us How PPP and PLMN were making fool people of Pakistan. Shame on u khusrye,DisAgree
Hasil Soomro,Reject PDM,DisAgree
Hasil Soomro,Reject PDM,DisAgree
Hi moon,RT @PTIofficial: PDM was an unnatural alliance now meeting its fate as it had no public interest as its goal. It was a ìPapa Bachaoî campaiÖ,DisAgree
Hina Amir,DAWN gutter why you missed that they failed to answer a single question and Fazl spoke in such derogatory way to reporters asking questions and then went away without answering further questions?,DisAgree
Hina Hina,Reject PDM,DisAgree
Hina Hina,Reject PDM,DisAgree
Hisban Memon,"RT @AliRazaTweets: #PakistanRejectsPDM

Fazal-ur-Rehman wants to become MNA
Nawaz Sharif wants his re-entry in politics
Asif Zardari wantsÖ",DisAgree
Hisban Memon,"#PakistanRejectsPDM

I, Hisban Memon from Hyderabad, reject PDM",DisAgree
Hkiahs,"RT @Minahal_Ch: Federal Minister Murad Saeed has said that the people also rejected the PDM
@Minahal_Ch
#PakistanRejectsPDM https://t.co/pXÖ",DisAgree
Hkiahs,"RT @Minahal_Ch: Federal Minister Murad Saeed has said that the people also rejected the PDM
@Minahal_Ch
#PakistanRejectsPDM https://t.co/pXÖ",DisAgree
Humayun Saqib,"RT @JheduMalik: My name is sadaqat And i Reject PDM
@Hum_IVF
#PakistanRejectsPDM",DisAgree
Humza Awan,"RT @mmnewsdottv: Article by:@SrasheedSalman

The state needs to act regarding PDM hate speech before violence erupts in the streets of thisÖ",DisAgree
Huzam Sharf,Reject PDM,DisAgree
Huzam Sharf,Reject PDM,DisAgree
IamAadi,"RT @LiaquatIVF: Pakistan is moving forward under Imran Khan's regime.
1.Textile sector running at its full capacity after 30 years
2.PakistÖ",DisAgree
Ibraz Khatib,Charter of Democracy? More like Charter of Kleptocracy I can say.,DisAgree
"IFTIKHAR AHMAD PTI, ????????","RT @zartajgulwazir: The scattered Opposition parties have totally lost the plot. Their circus show reeks of hypocrisy.

Meaningless small pÖ",DisAgree
Iftinana@outlook.com,"#PakistanRejectsPDM
People of Pakistan hate the very sight of you PDM leadership Pandit Fazlu, Bilawal the Haijra &amp; Nani 420.",DisAgree
Iftinana@outlook.com,"#PakistanRejectsPDM
People of Pakistan hate the very sight of you PDM leadership Pandit Fazlu, Bilawal the Haijra &amp; Nani 420.",DisAgree
IK Studio,reject PDM,DisAgree
IK Studio,reject PDM,DisAgree
Imad K,First you set your speaking style then think about people.,DisAgree
Imran Asghar,GO Nawaz GO,DisAgree
Imran Bhai,reject PDM,DisAgree
Imran Bhai,reject PDM,DisAgree
Imtiaz Ahmad shah,RT @Minahal_Ch: Prime Minister Imran Khan has said that the people of Lahore rejected the PDM show and made a big decision. PML-N and PPP bÖ,DisAgree
Imtiaz Ahmad shah,RT @Minahal_Ch: Prime Minister Imran Khan has said that the people of Lahore rejected the PDM show and made a big decision. PML-N and PPP bÖ,DisAgree
Imtiaz Ellahi,Haha hari hui,DisAgree
Intikhab Alam,Another Flop Jalsa,DisAgree
Irfan Khan/?????????? ??,"RT @AhsanAbbasJ: #???_????_??????? 
#PDM against PM Imran khan and Pakistan army 
#????_??????_?????",DisAgree
Ishtiaq Abbasi,Reject PDM,DisAgree
Ishtiaq Abbasi,Reject PDM,DisAgree
Israr Raja,Actual policy to secure party but it will not work Buddy,DisAgree
itx aemi vlog,Reject PDM,DisAgree
itx aemi vlog,Reject PDM,DisAgree
IVF?M U N E E B ????????,"RT @Hum_IVF: InShaa Allah 
Tuesday Morning 10Am

IVF Will Lead HT
#PakistanRejectsPDM",DisAgree
IVF?M U N E E B ????????,RT @UmarHay29735756: I Reject PDM from UAE. #PakistanRejectsPDM,DisAgree
IVF?M U N E E B ????????,"RT @nomii646: @fawadchaudhry appreciates WhatsApp decision to delay of new privacy policy

#PakistanRejectsPDM https://t.co/IgD9cjuRiR",DisAgree
IVF?M U N E E B ????????,"RT @nomii646: #PakistanRejectsPDM
The main opposition parties #PPP and #PMLN had no answer about their own foreign funding and were, therefÖ",DisAgree
IVF?M U N E E B ????????,"RT @Muhamma62820833: *#PakistanRejectsPDM*
@Hum_IVF
Noon League has gone out of the country, Sheen League has gone to jail while only MeemÖ",DisAgree
IVF?M U N E E B ????????,"RT @shiraznaqvi_ivf: *#PakistanRejectsPDM*
@Hum_IVF

PTI has submitted it's money transaction details to ECP but whole PDM including PPP anÖ",DisAgree
IZ,RT @PTIOfficialISB: PDM parties stand totally exposed. #PakistanRejectsPDM,DisAgree
J Khan,Another game from him and his party,DisAgree
J Khan,Bhai isko koi... Band krlo,DisAgree
J Khan,Big drama,DisAgree
Jabir malik 538,reject PDM,DisAgree
Jabir malik 538,reject PDM,DisAgree
Jafar Attari Jafar,Pesy Ka Yaar molvi,DisAgree
Jamil Iqbal,reject PDM,DisAgree
Jamil Iqbal,reject PDM,DisAgree
Jatoi ????? ????,"RT @AliRazaTweets: #PakistanRejectsPDM

I, Ali Raza from Hyderabad, reject PDM",DisAgree
Jawariya Hussain,floop jalsa,DisAgree
Jawed Iqbal,reject PDM,DisAgree
Jawed Iqbal,reject PDM,DisAgree
JUNAID KHAN Official,reject PDM,DisAgree
JUNAID KHAN Official,reject PDM,DisAgree
Kaleem Shaikh????,"RT @zartajgulwazir: The scattered Opposition parties have totally lost the plot. Their circus show reeks of hypocrisy.

Meaningless small pÖ",DisAgree
Kapil Sharma,Bilawal Zardari you need to go back to Dubai or wherever you came from beta and stay there.,DisAgree
Kashif Awan,Reject PDM,DisAgree
Kashif Awan,Reject PDM,DisAgree
KB Shar,Ab ye jihad wala chooran nahi biknay wala. Tum logon nay pehlay hi ye chooran baich ker mulk ka khana kharab ker dia. Logon ko Jihad ki sahi definition bhi bhula di tum bay ghairaton nay.,DisAgree
Khaber Today Official,"PPP Will Not Go Along PDM March Towards Rawalpindi Or GHQ - Arif Hameed Bhatti
@arifhameed15 
#PPP
#PDM

https://t.co/r5mAalKbNY",DisAgree
Khadeeja BATOOL,#PakistanMovingForward #PakistanRejectsPDM #Pakistan this is the reality. https://t.co/ZkUBU7U8w4,DisAgree
Khadeeja BATOOL,#PakistanMovingForward #PakistanRejectsPDM #Pakistan this is the reality. https://t.co/ZkUBU7U8w4,DisAgree
Khalid Aziz Khan,Every Pakistani knows Imran Khan is honest leader.,DisAgree
KHALID MANSOOR KHAN,"RT @AliRazaTweets: #PakistanRejectsPDM

Fazal-ur-Rehman wants to become MNA
Nawaz Sharif wants his re-entry in politics
Asif Zardari wantsÖ",DisAgree
khalidbukhari,"Nevertheless, this is a very sharp turn in the Political History of Pakistan.#Corruption #democracy #GovernmentÖ https://t.co/l1m3gspO48",DisAgree
khan afsar khan,"RT @92newschannel: Sheikh Rasheed terms Broadsheet as a case like Panama #sheikhrasheed #PDM #Panama
https://t.co/x61efApabX https://t.co/tÖ",DisAgree
Khan Ehtesham,"After failing in Profeganda & hypocrite tactics, the last religion card will fail too.",DisAgree
Khan Ehtesham,All these tugs have gathered to halt the progress of country and to save their corruption.,DisAgree
Khawar Jahangir,I am the selector of Imran khan ????????????????????,DisAgree
Khizar Hayat,"Come what may, Fazal Rehman is determined to destabilise the country at all costs because he has been fully paid by the corrupt of the corrupts & enemies of Pakistan.",DisAgree
khizar sikander bikak,RT @NDaultana: Priorities! If only they stop making #PDM their agenda and start focusing on governing for once,DisAgree
khurram,"RT @AliRazaTweets: #PakistanRejectsPDM

Fazal-ur-Rehman wants to become MNA
Nawaz Sharif wants his re-entry in politics
Asif Zardari wantsÖ",DisAgree
khurram,"RT @hamzaakrampk: Earlier Pakistanis and especially Pashtun Pakistanis rejected PTM.

Now once again all Pakistanis have rejected PDM as weÖ",DisAgree
Kusum Vyas,Request @ImranKhanPTI to stop jumlebazi. Moodyís Investor Service on Wednesday forecast Pakistan economy will growÖ https://t.co/2u7PfkoAMS,DisAgree
Liaquat Ali Team IVF,"RT @MAslam_K: #PakistanRejectsPDM
PPP and PMLN have engaged in money laundering through their party accounts too. https://t.co/mpw3ZgFvwJ",DisAgree
Liaquat Ali Team IVF,"RT @shiraznaqvi_ivf: *#PakistanRejectsPDM*
@Hum_IVF

PTI has submitted it's money transaction details to ECP but whole PDM including PPP anÖ",DisAgree
LovePakistan??????,How long can people be fooled by their lies and forgery? #PakistanRejectsPDM,DisAgree
M.Amir Raza,RT @PTIOBajaur: PDM was an unnatural alliance now meeting its fate as it had no public interest as its goal. It was a ìPapa Bachaoî campaigÖ,DisAgree
Maaya,"RT @InsafianChokra: Bilawal's withdrawal from protest is clear. PDM itself is not on one page
The PDM will soon fall into the mire of foreiÖ",DisAgree
Maher Ihsan ullah,@hinaparvezbutt Original ya calibary Wali because nothing is real in PMLN,DisAgree
Mahnoor 438,reject PDM,DisAgree
Mahnoor 438,reject PDM,DisAgree
MajorGeneralISPR,"RT @MNM197: #PakistanRejectsPDM

I, Naeem Mughal from UK, reject PDM",DisAgree
MajorGeneralISPR,"RT @zartajgulwazir: The scattered Opposition parties have totally lost the plot. Their circus show reeks of hypocrisy.

Meaningless small pÖ",DisAgree
MajorGeneralISPR,"RT @hisbanspeaks: #PakistanRejectsPDM

I, Hisban Memon from Hyderabad, reject PDM",DisAgree
Malik Imran,reject PDM,DisAgree
Malik Imran,reject PDM,DisAgree
Malik Zahid Tanoli,Reject PDM,DisAgree
Malik Zahid Tanoli,Reject PDM,DisAgree
MaNi,"RT @AhsanAbbasJ: #???_????_??????? 
#PDM against PM Imran khan and Pakistan army 
#????_??????_?????",DisAgree
Mariyah Daniyal,He is playing with the mind of innocent nd unaware folk.,DisAgree
