User,comment
Inayatullah Dharo,MQM is back in Karachi۔ Now they realized that umpire is to show them a red card soon۔
Usama Iqbal,Mr bilawel instead of criticing others come to Sindh where ur party is ruling since decades and ur party has done nothing but corruption corruption corruption .. ...
Abubaker LaLa,Mr bilawel sindh has voted ur party not for doing corruption but for betterment of province but unfortunately u have forgotten sindh perhaps because a major part of corruption done by ur govt go to ur family ...
Shreen Zaman,Mr Junior Zardari.... you were not only shocked but also lacked the courage to condemn it...
Waqas Ahmad Mughal,"Mr Maulana please don't misuse Jihad name For your Political scoring, Your hypocrisy never End . Stop playing with your Party, Religion for Your Stake ."
Shahzad Khan,Mr. Fazal ur Rehman (R.I.P) .
Yasirii Malik,"Mr. Shah Mehmood Quershi the worthy foreign minister of  forget about   . You have lost the  ,there's no solution with you for the people's of Kashmir."
Sajjad Haider,muhtrma  Bilawll Bhutto zindabad
Sajjad Haider,Muje q nikala hahahaha
M Arshad Jandran,Mujhe kyon nikala
Muhib Jani,Mujy. Ejazat ho to m is insan ko goli mar do eman sy khon kholta h isy dekh Kristin
Mehmood Alihassan Soomro,Mulk dushman logg🤦🤦
Malik Zeeshan Surveyor,Mulla Diesel
Mehrab Jan,Murdan waly chor diakhny aye hy
Aqib Mgi,Must be having one of his rare sane days!
Aqib Mgi,Must watch
Aqib Mgi,My great leadership
Siraj Khan,Na noukari na Ghar na job PTI frod kar gai
Mast Malang,Na-ahel nalaik party
Zahid Musfair,naani ki cheekhyn
Dani Khan Khattar,Nadir Shah
Khurram Hussain,Nalaiq establishment k kaam
Shah Zaib,Nani
Sagarika Thapa,Nani 420
Nyla Nasir,Nani 420
Awais Ali,nani 420
Kinzay Rana,Nani 420
Areeba Rayasat,Nani 420 Choorni
Areeba Rayasat,Nani 420 haramzadi
Muhammad Bashir,Nani can never be a PM.
Muhammad Bashir,nani g khuda ka wasta 30 sal ap ne kuch ni kia ab sap nikalny hai ap ne
Ahsan Ullah,Nani no 1
Faisal Shaikh,Nani now say this without crying
Irfan Kakar,Nani420
Ayaz Khan,Nano 420..chor k bchy
Kashif Safdar,"Nano, I can't expect from you to give China Toys to your grand daughter, buy atleast some levish gifts so she can be proud of someday."
Mir Balaj,"Nation  love you in true  latter and  spirt  keep  it up,take care"
Mohib Khan,Nation stands with opposition parties.
Zahid Azam,national Disaster imran khan ko bhagao mulk bachao
Zahid Azam,National Polictial Leader
Zahid Azam,Nawaaz sharief congratulations from kpk Swat Asadullah
Azmat Bhatti,Nawaz chor bhagora
Azmat Bhatti,Nawaz it's time for you to repent your one leg is already in grave
Ali Raza Pmln,Nawaz shareef ak boht bara baygairt ha.
Nabella Majeed,Nawaz sharieef chor ha or ghareeb awam ka Paisa wapis karo
Khaleq Khaleq Khan,Nawaz sharif chor ka bi btao makaar lomri..... Baighairtoo.....
Aurangziab Abdul Khoso,Nawaz Sharif kehta tha....yeh hain woh zarai jin say main nay london main properties purchase ki.....
Riaz Ahmad,Nawaz sharif says ..... I am the looter of Pakistan and will continue to loot and my offsprings will be looting Pakistan because it is my primary duty to loot Pakistan.
Rana Ali Raza,Nawaz Sharif will contribute online in this Jihad
Sajjad Khan Pmln,Nawazshareef ka online khitab tga vo kiu ni dikhaya?
Sajjad Khan Pmln,Naya tarke es liy raqam kia qk es se phly 4k log nahi hote te bajy😜😜😜
Arslan Chawla,Nehi jis captain k saath gehraaj main thee is k saath beth k baat ho gi
Ahmed Tareen Kalantar,"Never like him as a leader, but totaly agree with him, no place for establishment in politics, they are meant for borders not for rulling!!!"
Muhammad Amir Aame,"Never saw a pure vegan food recipe, seems Pakistanis are heavily non veg eaters. One country is conducting research on artificial meat looks and tastes like non veg stuffs which will avoid cruelty on animals"
Mohammad Fayaz,New charter of corruption***
Raja Nisar,New euro V ..in pak politics.
Jawad Chaudhryy,News. If you have ongoing heart condition having regular angina attacks. Eat Pizza. Maryam Nawaz. Ab ye apnay baap kay sath awam ko bhi maray gee. 🤣🤣🤣
Imran Bari,Next 5 year just pm imran khan
Imran Bari,Next Altaf Hussain
Faryad Ali Mughal,Next PM
Riaz Khan,Next pm
Atif Sulehri,Next PM
Atif Sulehri,Next PM imran khan
Atif Sulehri,next pm imran khan InsAllah
Arix AfridiiDs Arix AfriiDs,Next pm of pakistan in
Chaudhary Amir,Nic
Waheed Sager,Nice
M Irfan Sammar,Nice
Niaz Khan Baloch,Nice
Alee SamEer,nice
Samreen Hashmi,Nice
Salman Khan Roghani,nice
Ali ASåd,Nice
Usman Sajid Bhabha,Nice
M. Nasir,Nice
Muhammad Shahzad,Nice
Sajjad Amin,Nice
Khan Javed,Nice
Hamza Malik Hamza Malik,Nice
Hasan Akhtar Qureshi,Nice
Naqeeb Khan Naqeeb Khan,Nice
Asif Iqbal,Nice
Hafiz Abdul Basit Indhar,Nice
Shahjhan Ali,Nice
Usman Majeed Malik,Nice
Sajjad Khan Abbakhel,Nice
Ilyas Khan,Nice
Nasir Memon,Nice
Kâshîf Khâñ,Nice
Malik Shahbaz,Nice
Khalid Hussain,Nice
اسلم ارمان,Nice
Faisal Khan,Nice
Aslam Ch,Nice
Zahid Musafar,Nice
Zahid Musafar,Nice
Gulnawaz Yaqoob,Nice
Ikram Mahsood,Nice
Abdul Waheed Shar,Nice  medim
Raja Abdullah,nice .
Lala Farooq Mahar,Nice 👍
Waqas Ali Pmln,Nice marim  army ka kutah nakla Imran dhukn baz
Akhtar Khan,Nice mem
M Umar Wazir,Nice sir
Abdul Basir,Nice soo nice
Abdul Basir,Nice.....nice
Abdul Basir,Niceee
Abdul Basir,Niceeee
Abdul Basir,Niceeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
Muhammad Waseem,nni ami bs kro :)
Idrees Khan,No corona here?
Faiza Mustafa,"No doubt ..it also killed the propaganda against Lahore, what is encouraging that the movement is gaining momentum day by day ..may Allah SWT keep the same pace and spirit of PDM workers till the end"
Abdul Jabbar,No doubt a huge public gathering which reflects the sentiment of people against this incompetent government .
Ahsan Virk,"No its not jihaad, rather its a fasaad through the dakus are trying to protect thier ill gotten wealth"
Ahsan Virk,No molvi seen  in comments? O wait they can't read english
Ahsan Virk,No one is gonna give their life for diesel when they can simply buy it.
Ch Afra Jutt,no single flag of nleague. what a shame.
Qadar Nawaz,No to pdm corrupt politicians.
Mirharaz Khan,"No wonder, why cartoon series are dropping trp."
Hãróòñ Khãñ,Noo Rally its jalsaa
HamZa Farooq,Noonis once stormed SC the same way.
HamZa Farooq,Not Dislike Yaar ARY Ko Like Karo
HamZa Farooq,"Nothing about law and order, corruption, justice but same shitty points"
HamZa Farooq,"Nothing else but a "" Software update"" bescause every now and then he uses the word "" Selectors""..."
Taaruf Ullah,Nothing New. Government trying to escape under these type of things. No harm to PDM
Sajid Ali,Nothing to lose
Faisal Amin Taib,"Nothing will happen, Everyone knows PPP past performance and Corruption. National party becomes the provincial party very sad..."
Rooh Ullah Rohulah,Now i know y  Wanted  to be translated in Urdu...
Prince Nazim Ali,"Now it is not Bilawal Bhutto.Now you are just Bilawal, if you want to polish shoes, use the name of current or a retired man so that people will avoid stupidity."
Muhammad Yousaf,Now these money greedy politicians will announce jihad . Ask him to sacrifice his wealth for the state first then see how he declares so called jihad for government seat.
Nasrullah Tariq Shaloo,"Now they have a common enemy, enemy they have recognized could never be a friend and will always back stab.  this why it is different this time. Narrative is not against PTI because PTI is irrelevant , narrative is against the mindset that enslaved peo…"
Touseef Khan,"Now We have to listen lectures from looters, robers. Isn't ridiculos? Shame on those who still support culprits"
Habib Ullah,Now you should talk like this at rallies..
Habib Ullah,"Now, they don't care about Covid-19. They only think about money and chair. COVID-19 was a big drama for government of PAKISTAN. They don't care about it. They made dialogues in order to take money and funds from foreign banks and countries. Now, they …"
Habib Ullah,NRO kia hai
Habib Ullah,NS kai naouker (ADC) Safdar ki trah aaj Lahorion nai Raj kummarie Murrium ki Qulfie juma dee oor she felt happiness but inside she is ruined then with her Azzt and now political carriers
Habib Ullah,Number 1... lamb biriyani
Habib Ullah,Nxt pm
Habib Ullah,NYC...go to hazara community
Azmat Khan,Nycccc
Habib Ullah,O Bibi hun Ty bas Kar🙏
Azmat Khan,O chal dafa ho ja
Ch Ahmed,O jaa oye kamini napak orat. Tere jesi hazar behaya patwarnen kaptan ki chapal pr qurban.
Shahid Mehmood Butt,O Pti waalio Pain lul tawaadi nu kuti Dio putro maar Dita jay
Rana Danii,"Of course, this is the heartfelt love of the Bannu people and there are reasons to be tolerant of the previous government. The meeting was very good. But Maryam Nawaz was missing. God knows where she was and why she was absent."
Asmat Ullah,Ogre
جاوید تاوانی,OH Allah ye PDM wali sare chor Mardan b ponch gay.Mare pastoon bhio as chorni na kasi ko nahi chora ap sub b bach k raho
جاوید تاوانی,OH Allah ye PDM wali sare chor Mardan b ponch gay.Mare pastoon bhio as chorni na kasi ko nahi chora ap sub b bach k raho
جاوید تاوانی,OH Allah ye PDM wali sare chor Mardan b ponch gay.Mare pastoon bhio as chorni na kasi ko nahi chora ap sub b bach k raho
جاوید تاوانی,"Oh and using caliberi  font was real smart,  Mr. Ishaq Dar racking up huge debt  to artificially prop up the exchange rate was a stroke of genius, Mr. Sharif’s halting  nervous defence of his source of wealth was aw inspiring, inviting our worse enemy …"
جاوید تاوانی,Oh boy  now i fear for the day when he wil say I AM QUAID E AZAM.
جاوید تاوانی,"Oh,"
Sadam Baloch,Ok
Naeem Khan,Ok A
Arif Ali Arif Ali,Old saying:
M Ramzan Khan Sajid,Omg that was soo cringey
Muhammad Jahangir,Once molvi in govt jihad will stop
Koko Jan,One Among the  signs of the
Haji Akhtar Alam Qureshi,Only 2000 people
Kashif Khan,Only 4 to 5 thousand
Sagheer Ahmed,Only if he can get married by then!!!I have no comments about what happens after that???
Tasleem Baloch,Only if he knew what jihad actually was. What a sad state this man is in. The thirst for power has made him go nuts.
Abdusalam Habib,Only if treachery & Indian sponsored propoganda had a face
Khanzeb Khattak,Only jihaad card was left to play
محمد انس,Only Jui not PDM
Hāsån Rāzā Khän,only pti......love you khan
Thsin Ullah Khan,Only words. what your father did in his era against poverty and unemployment...??? Nation will no longer tolerate your dirty faces you all will be accountable for what you have done with this country.
Shaya Khan,Ooo hut gushti
M Amjad Mahmood,Ooye log ho tussi
Aziz Unar,Or ya log sab baryanni k pichy ay hay
Shafqat Mehmood Awan,"Our stupid generation is far from becoming a sensible one , majority of our kids are angry not because of covid19 but just to avoid schools and colleges and use that time destroying themselves , roaming around, enjoying vacations and what not, for God'…"
Junaid Wazir,Out of Context
Aman Ali Kashmiri,Outstanding ❤️❤️❤️
Shams Khan Mehsud,Over Acting
Sardar Junaid,Oye Hijray Chup kar
Sheikh Rasheed Ahmed Saqib,oye kursiyan sari chak k ly gye vikhiya nhe 🤣😂🤣😂🤣😂🤣
Khalid Khan,Oyea tumhary  chor baap ny kitny hospital banayea.
Bin Ashraf,P.D.M totally creapt 🖐🖐🖐
Zahida Raza,Pagal aurat
Sardar Behram Khan,Pagal or chutia qoom crona ke waja sy dunia parshan hy or in ko dekho
Tahir Mahmood,Pagal salla
Arshad Ali,Paiso aor khanay ka laalach
Kiran Ghouri,Pak Army/ISI hv started weakening the PDM with Bilawal expressing surprise over Sharif's indictment of the Army 2 hv manipulated general elections  to instal Imran. Lack of consensus on future strategy will weaken d movement. Imran is clueless but Army…
Hayat Kpk,Pakistan 1947 mein Azad howa
CH Mohammed Saeed Chowdhary,Pakistan Dacoit Movement
Zulfiqar Tabassum,Pakistan dako movement
Rifhat Mudasar,Pakistan ki qoum kab tak baywaqof banti rehey gee in ghadaron PDM k hathon.
Rifhat Mudasar,Pakistan 'Rejection' Movement. Reject everything that goes against them. Stop misusing democracy for GOD's sake.
Rifhat Mudasar,Pakistan rejects jali diesel walay mullahs and PDM
Rifhat Mudasar,Pakistan zindabad
Rifhat Mudasar,PAKISTAN ZINDABAD NAWAZ SHARIF ZINDABAD.
Rifhat Mudasar,"Pakistani Army Lovers after posting offensive comments...Frustration is beyond tolerable...While the whole world is fighting with corona, but Pakistan is still mired in polio...This is the reason for it..."
Rifhat Mudasar,Pakistani politicians will rape their country to siphon the money.
Rifhat Mudasar,Panama gotala.
Rai Sikandar Qadir,Papa goonglo bhi army ki padawar yeh to unsay bhi nalaiq
Rai Sikandar Qadir,Parda kar yara parda
Usama Ahmad,Parda karo ghar bhaith jao.
Usama Ahmad,Park evenio flats
Kohla James,Patwaran
Aqeel Ahmad,Paxtan in d bag...grape
G Nabi Jatoi,PDM
Heelamand Lattakwal,PdM
Shahid Marwat,PDM  Ko or Bellawel Anty ko Like Nahi Karo Yaar ARY Ko To Like Karo Sub Log
Sohaib Khan,PDM 12 POINTS AGENDA.
Farukh Ahmad,Pdm choor han
Saim Asgar,PDM chor
Hammad Rafique,PDM chor hai
Majid Khajjak Watan Jar,PDM fail and so much boring
Rana Tariq,"PDM FAILED TODAY, WELL done patwaris, biryani, keema wala naan bhi kha liyain and jalsa bhi flop kardia, people of Pakistan stands with IMran khan, now PDM leaders should some grace and apologies"
Shaukat Khan,PDM is doomed to fail in achieving what they want to achieve i.e. return of the same corrupt lot.
Moin Khan,PDM is gang of dacaoits and looters
Naeem Akhtar Rajpoot,"PDM is group of looters,dacaiots and thieves...."
Naveed Rehman,PDM is just collection of mulk chore
Amir Sohail,PDM is our only hope.... my next vote is for PDM
Ch Hadeed Cheema,PDM is the crew of most disabled politicians.
Malik Liaquat Awan,PDM KA MUSTAQBIL LAKE ONTARIO HAI YA LAKE NIAGRA FALL.
Jaam Adnan,"PDM knows that ,he would not give up ,so try ,try again ,PDM looted this country for more than four decades ,now comparing it ,this is not justice ,let him to do government for four decades ,than compare yourself with Ik and ask for accountability ."
Mohmd Shakir,PDM pakistan daku moment
Mohmd Shakir,PDM rejected the outcome of GB elections. What a surprise
Mohmd Shakir,PDM till 2028 IA
Zahid Iqbal,PDM totally got failed!
Abdul Rasheed Khan Jadoon,PDM you will be victorious inshaAllah
Munir Khan Gurmani,Pdm zindabad
Imtiaz Ahmed Awan,Pdm zindabad
Noor Hussain,Peachy se hawa nikal rehi zoor na lagauo abi rony se kuch nehi ho ga
Kashif Khan,"Peeli taxi ? Or pait pharein,?"
Muhammad Amjid,Pehlay apne Baap ko bolao phr bat Karen gy
Tanveer Ali,pehn chod choran da tabar
Muhammad Zakria Abbasi,Pelaye ANP apni seats too jetaye.
Muhammad Zakria Abbasi,Pennay  ninakku Swargam vendey?
Muhammad Zakria Abbasi,"People from their home town have rejected them!! People of Pakistan are smart, these politicians underestimate them!!"
Muhammad Zakria Abbasi,People know the truth people watching everything
Muhammad Zakria Abbasi,People stop making his fun! Idiots!
Muhammad Zakria Abbasi,Perhaps he forgot to mention that if the Supreme Court have to upheld its constitutional duty he should already be in prison and not an absconder.
Muhammad Zakria Abbasi,Phat Gai...Bund and Munn..
Muhammad Zakria Abbasi,Phele tere abu ko bula kr laa jo bagoda london mai chupa hai plastic surgery
Fayyaz Ur Rehman,phir isko ghazi na rehne diya jaye shaheed kia jaye
Muhammad Zakria Abbasi,phle is diesel ko shaheed kro phr dkhte hn iska jihad
Muhammad Zakria Abbasi,Phulan maryam awan. The dakaits of lahore
Muhammad Zakria Abbasi,Pigs shouting
Muhammad Zakria Abbasi,Pinnacle of Manipulation distorting religion according to one’s own desires and whims. Are they the scholars of the last Hidgri (century). Despicable is the word that comes to mind
Taqi Haider Naqvi,Pizza Jihad
Mian Shakir,Please ARY you are aiding  and abetting these  criminals by showing  their  whole  hateful  speeches this is not  news.
Azmat Ullah,Please change the name to chore party
Umair Bin Nasir,Please don't be lie. Tell your obsconder Father and brothers to come and face the cases in the court of law.
Hameed Khan,Please don't fudge about your failed economy which is a hell for the common people.
Mujtaba Ali,"Please don't try to term your personal interests into a sacred thing like ""Jihad""."
Bakhtawar Shah Mohmand,Please get these kids off the streets they are spreading the coronavirus
Shahzeb Rehmani,PLEASE RETURN OUR MONEY AND ASK YOUR BROTERS TO COME BACK
Abid Jaan,Please return plundered n looted money
Syed Farooq Haider Shah,Plmn zindabad
SyEd ALi ShAh,pls na dekhai pls
Shahzad Pappu,Pls pls PAKISTANIYO  in choro ko kabhi moka mat dena. Yh baat amm kar do har ghar har galli mein bata do. Yh sirf apna app bacha rahe hain inko tumari perwa na thi na hogi. Yh appke jazbaat ke saath khel ke appko bewaqoof banate hain.
Mohammed Sajid Bhatti,Plz chup Kar jao meray Sar mein dard horaha hai
اباسین حان اباسین حان,Plz humein maaf krdo
Umar Din,Plz myry sar par drone na uraen😝😝😝😝😝😝😝😝
Talha Qasim,Plzzz speak on france incident being a Muslim you must think
Syed Ahsan Sherazi,Pm
Meer HamEed Baloch,PM imran Khan ♥️pk army ♥️🇵🇰✌
Waqas Nadan,Pm Imran khan zinda bad
Bilal Pmln,Pml N
Aziz Ur Rahman,PML ZINDA BAAD
Asad Ullah,PML ZINDA BAAD
Asad Abbasi,Pml. N
Raza Mohammad,Pmln
Raza Mohammad,PMLN ❤✌
Muhammad Asim,"Pmln waley Kehty they IK badtameez hai... He used that language for his age fellow... Listen to her now!!!!  Copying the IK in everything,  tasbeeh,  container,  music,  venues,  nothing original."
Qaderdad Shar Bloch,PMLN workers zinda baad SALAMAT raho Ameen
Hafiz Kifayatullah Lehri,Pmln zinda bad
Shoaib Samo,PMLN zindabad
Ali Shah Ali Shah,PMLN ZINDABAD
Jehangir Khan,PMLN zindabad
Janib Ali Maheri,"Political rallies are immune to covid, every political rally"
Malik Asif Wahocha,Ponka
Malik Asif Wahocha,Poor non Muslims get accused of blasphemy for sharing the same water cooler. This man makes a mockery of the concept of Jihad and he is a leader in Pakistan.
Malik Asif Wahocha,Poor statement.
Rehmat Ali,Pori speech mn 1 hi baat imran Khan ko phly pta ni tha
Malik Asif Wahocha,"Post 9/11, the right wing sentiment in America marked a drastic rise that culminated in Trump winning the President and eventually boiled down to storming of the Capitol."
Ch Umar,"Post krne se pehly verify kr liya kren q k aksar apki posts fake hoti hain. Ap khud tou bezati proof hain, apkay supporters bichare defend krte krte izat gwa dete hain.."
Ch Umar,Potatoes 200 rupees per dozen and eggs 100 rupees per kg. Bilawal can you tell us the philosophy behind this well calculated intellectual talk?
Ch Umar,"Poverty and unemployment are,definitely,the biggest problems faced by the masses.But,the question is relevant as well as very disturbing.Why these issues have been common during every rule or why there is an individual and collective failure to remove …"
Ch Umar,Pow
Ch Umar,POWER OF PEOPLE IS STRONGER THAN THE PEOPLE IN POWER. ....THANKS NAWAZ SHARIF
Abubakar Gujjar,"PPP and PMLN after undermining each other for decades by dragging institutions for their own power, now claim they are fighting for democracy, when they can't even give leadership outside of their families."
Ch Umar,"PPP Chairman Bilawal Bhutto-Zardari has said that he was ""shocked"" when he heard PML-N supremo Nawaz Sharif's speech during the Pakistan Democratic Movement's (PDM) first rally in Gujranwala last month in which Nawaz named the country's top military le…"
Ch Umar,Ppp claim shaheed party there favourite slogan..only shaheeds are fauj..these ppl died for reasons nothing to do with a shahadat benazir died trying 2 save herself from corruption cases made deals with foreign governments fact also her husband is primary beneficiary a joke
Ch Umar,PPP is a party of criminals
Ch Umar,PPP is going to taste the taste of the sacred shoes with their tongues
Ch Umar,PPP zinda bad 😂
Ch Umar,Ppsc corruption
Hayat Ali,Present yourself for sacrificy first
Ch Umar,Price of a kg eggs
Atta Ur Rahman Pmln,Prime Minister with zero performance but don't worry he wear kurta with 2 holes
Ch Umar,Promoting COVID 19 no sense your father lost the election rules for all those years and did not much except steal from the poor with loans going straight to you and your family justice will be done
Ch Umar,Proud
Ch Umar,Pti day kutyo
Ch Umar,Pti day spotero
Ch Umar,PTI followers will not sit still.
Ch Umar,"PTI ko aye huway  3 Saal be nahi huway, tum logoun ne 30 saal main kia tir mara hai, puray mulk ka beda garq kr diya hai"
Jawad Ahmad Yousafzai,Pti zendabad
Ch Umar,Pti zindabad
Ch Umar,Pti❤❤❤❤❤❤👍👍👍👍👍
Ch Umar,Puppet Niazi go..
Ch Umar,Puppet Pm na manzoor
Ch Umar,Qayamat aa nahi rahi aa chuki hy.ye bhi aakhri waqt ki nishani main se ek hy.
Ch Umar,"Quaid ne NRO ni liya, azadi le the pagli rolai ga kia"
Ch Umar,Quaid-e-Azam’s reaction in his grave upon hearing this:
Ch Umar,"Quaid's narrative is far far away from all the political parties of Pakistan. Yeah, it is a cool way to fool the impoverished population of this country."
Ch Umar,Quid e Azam ka bayaniya curruption nahee malo dolath nahee ye bayanaya sirf choro ka hai
Ch Umar,Rahul Gandhi of pak
Ch Umar,"Real competence is getting railed by sakur on international media and producing a fabricated document in a font that didn’t even exist, gotta love the irony"
Ch Umar,Really feeling sad for the people who actually vote for him he has no shame he never talks about the Sindh and problems we people of Sindh are facing   and Imran Khan's government is one hundred percent better than zardari era
Ch Umar,Really feeling sad for the people who actually vote for him he has no shame he never talks about the Sindh and problems we people of Sindh are facing   and Imran Khan's government is one hundred percent better than zardari era
Ch Umar,Reject PDM
Ch Umar,Reject PDM
Ch Umar,Reject PDM
Ch Umar,Reject PDM
Ch Umar,Reject PDM
Ch Umar,Reject PDM
Ch Umar,Reject PDM
Ch Umar,Reject PDM
Ch Umar,Reject PDM
Ch Umar,Reject PDM
Ch Umar,Reject PDM
Ch Umar,Reject PDM
Attaullah Attaullah Khan Swat,Reject PDM
Rana Nadeem Khan,Reject PDM
Hasil Soomro,Reject PDM
Waseem Channar,Reject PDM
Agha Zain Ullah,Reject PDM
Muhammad Husnain Farrukh,Reject PDM
Muhammad Mubin,Reject PDM
Maroof Kabir,Reject PDM
Malik Zahid Tanoli,Reject PDM
Maryam Rajpoot,Reject PDM
Kashif Awan,Reject PDM
Adv Farah Baloch,Reject PDM
ARêej Tahīr,Reject PDM
Naeem Asad Dev,Reject PDM
Anis Ur Rahman,Reject PDM
Afaq Ahmed,Reject PDM
Huzam Sharf,Reject PDM
Muhammad Nadeem,Reject PDM
Hina Hina,Reject PDM
محمد محسن رفیق,Reject PDM
Waseem Baloch,Reject PDM
Ch Anees Watna,Reject PDM
Umair Awan,Reject PDM
Ishtiaq Abbasi,Reject PDM
Abhishek Sinh,Reject PDM
Rana Azeem,Reject PDM
Zahid Kayani,Reject PDM
Pinned by,Reject PDM
ghani baba kalli,Reject PDM
itx aemi vlog,Reject PDM
Akhtar Boos,Reject PDM
Rana sajid,Reject PDM
Channel 9,Reject PDM
Rijo Mayo,Reject PDM
Fareeya khan,Reject PDM
Rizwan Khan,Reject PDM
Sanjy kumar,reject PDM
VIR BONE,reject PDM
Wall Paper walaay expo interior,reject PDM
Aslam Kanara,reject PDM
S R N Gaming zone,reject PDM
najma israr,reject PDM
Shaikh TV,reject PDM
Naeem Amir,reject PDM
Mian Umer,reject PDM
Mahnoor 438,reject PDM
saad saqib1,reject PDM
Jamil Iqbal,reject PDM
vilma favorito,reject PDM
Chudhary Hamza,reject PDM
Shan S,reject PDM
Mubeen Shahid,reject PDM
Jawed Iqbal,reject PDM
asif ali,reject PDM
JUNAID KHAN Official,reject PDM
Mirza Nadeem,reject PDM
Malik Imran,reject PDM
shah Zaib,reject PDM
Syadi amir,reject PDM
Ahmed Ahmed,reject PDM
Ghulam Sarwar48,reject PDM
Umer Ch,reject PDM
USMAN Randhwaw JUTT,reject PDM
ZULFIQAR ALI,reject PDM
Muhammad Amin,reject PDM
Hamza Mobiles,reject PDM
Aamir khan,reject PDM
Arshad Khan,reject PDM
Muhammad Amjad,reject PDM
Jabir malik 538,reject PDM
Rehmatali Rehmatali,reject PDM
Umer Ch,reject PDM
gyan Hai To Jaan Hai,reject PDM
Fatima Haroon,reject PDM
Musilm Khan,reject PDM
Mubeen Shahid,reject PDM
Hasan Ali,reject PDM
Zeeshan Malik,reject PDM
Shan Kazmi,reject PDM
sania irfan warrich,reject PDM
Syed Rasool,reject PDM
Muhammad Aatir Ijaz,reject PDM
Umer Ch,reject PDM
Naveed Younas,reject PDM
Anaya Noor,reject PDM
Shakeel Ali,reject PDM
Imran Bhai,reject PDM
Ahzar Baloch,reject PDM
Muhammad Asif,reject PDM
Zahir Abbas,reject PDM
Muhammad rafiq,reject PDM
IK Studio,reject PDM
Ateeb Ahmed,Religion is best tool to fool people
Nabeel Khan,Religious usage is in full swing again in Pakistani politics.but now people don't bother to take it serious so pdm should stick to their Democratic demands rather than blackmailing.
Ahmad Masood,Remember his name and remember his face he will send Niazi and bajwa home Inshallah
Zahid Ali Mughal,Rent a crowd.... hahahaha
Zeeshan Haider Official,Respect and Salute to this great brave man ......
Talha Cheema,Ro Maryam RO.   Rona muqadar ha tumhara
Ikram Manj,Ro PDM Ro. Long live IK.
Haris Mugheri,Rogue in clerical disguise. Diesel. Rejected Bull of the KPK.
Ayesha Rehman,Ronda hi rhnda ae..... jeet Jaty to thk wrna dhaandli
Bilal Sandhu,Saad I like the “rat thing” comment !
محمد مبchorر,Sab k sab ek hi team se khel rahay hain!
Usman Sharif,Sab ko jatti umraaa lay jaoo nani g
Usman Sharif,"Sab log bolo Ameen, Summa Ameen, Jis jis nay Pakistan ko Lotta Hai Allah us ko khark Kar Ameen, chahey wo Pti ka ho PMLN ka ho yah PPP or JUI ka"
Truth speaks,sab say pehlai Pakistan. yai sarai 11 party walai mufad parast hain. lahore ka jalsa be nakam hova.
Saliha Taror,"Sacrifying for protection of corrupt and criminals can't be part of islam neither jihad in Islam but possibly in Non islamic religion followed by greedy Fazalur Rehman, his family and followers."
Ali Humza,Safdar ka sath bagny wali
Zulfiqar jk,Salami deny wali 25 tupy icko Marni chaye 25 k 25 fire icky stage par marny chaye ta k ye SB Chor 1 sath maary Jaye Jo Bach Jaye Bilawal sahiba wagera shaikh Rashid uska khayal Rakh lay ga😂
Abdullah Asif,Sanam zeeshan Kha h
Ahmed touqeer,Sare chore ikhathy huwy hain
Israr Muhammad,sare khu zaan ta da janat deer asaan ko..
Haji Muhammad,"Sarha deserves respect and became voice of oppresed people. She has rightly said India is not the largest democracy of the world. Infact, India has never been the largest democracy."
atbaf abarak,Sari jahil awam akhthi hui ha choro ko bchany k liye
Expert Chanal,Sari zindagi governments main rehny wali parties phir wohe slogans ....afsos
Shad Muhammad,sary bachyn dekhny aye hain sub tharki hain baloch beghart nhi jo tery pechy ayn gy
Taj Khan,Sary chor akhaty hain taira mouqam maira mouqam  chouroun ka thekydar amir mouqam
Mahnoor Shahid,Sary tharki agy hahahaah
Literature pk,Sb ko pta ha ye kya krne ae hain😅
Hafiz Gulam,Scenes during mian sb speech
Ashfa Zaman,Sea of man
Masood Khan,"Seat has been booked for next ""katputli"""
Sanjy kumar,See Billu got tensed just because of their NAMES & not for involving institutions.
Danish Hanif,Seeing these thugs my belief in IK gets stronger.
Zain Jamshed,Selfish & characterless person
AMIR MALIK,Sghsjsbsn
Jamil Iqbal,Shabash pti Imran khan
Umer Ch,shabash...lagay raho in choro ko bachanay k liy....choro k sardar bajay is k k tum in ki chori baynaqab karo...tum he inko lead kar rahay ho....sharam karo molana sab...
GamingRanchYT,Shair
Hamza Mobiles,sham sham PDM
Jabir malik 538,"shame on ARY media group for negative reporting, according to ARY due to small amount of crowd PMLN leadership may not start there rally."
Iqra Hamad,Shame on this guy
Shahzad Amjad,shame on u shame
najma israr,Shame on you and your corrupt legacy.
Saleem Zardari,shame on you... We respect the leader and we will listen to him... all chors together!!
Fareeya khan,Shame Shame
whatsapp status,Shameless mulla using Islam for his political gain.
Tanvir Ahmed,Shameless scoundrel!
mano doll,"Sharam kar lai, asey baat kartai kisi bazurk say."
Sameel raja,Sharam se doob maro
Shakeel Ahmed,Sharam tum ko magar nahi aati
Raja Shampo,Shatan
Fatima Khan,Shava bie diesel shava!
Umar ali umar ali,shb ye bhi jahaad hai ??
Amna Hashmi,"She is a star..... unlike selected puppet Niazi, Maryam actually is a mass leader."
