users,comments,labels,,
Qaisar Khan Khattak (dr meshi natalday ??),"@shahzad_787 @ajmaljami Lol, They've been thrown out of #PDM on day one. Rst, Scurty? It's not an open enemy that… https://t.co/HwnXX1zRyU",agree,,
Amir Zia,"#PDM stands confused, divided... one group of leaders say that their prime target is Prime Minister @ImranKhanPTI,… https://t.co/cQ0cwj6Tmy",disagree,,
Sunil Kumar Yadav (Sky),Hangsheng Electronics broke through development silos by connecting multi-domain data and standardizing workflows w… https://t.co/7DHzvk7A3Z,neutral,,
acipitor4100,RT @AzarMx: Just realized that a massive movement such as #PDM should have some branding. So here's PDMs all new logo. Hope you'll figure i…,agree,,
Andrea LSchedler,"RT @SOLIDWORKS: Read about UECO, a company that has transformed from a small shop with 3 employees to 300 employees and still growing despi…",neutral,,
Harjeet Insan?????,"RT @BlissfulSahir: When you reach the end of your rope, tie a knot in it and hang on.

-Franklin D. Roosevelt

#imrankhanPTI 
#PTI 
#PAKIST…",disagree,,
Topgunmaverick,@ImranKhanPTI sacrifices and efforts for this nation is not only helping treat cancer of ppl but also treating canc… https://t.co/qG9Ncqt0sT,neutral,,
Zohaib Babar ????,"RT @ChaudriIrfan1: Now you understand why MandwiWala has been ripping his clothes off for the last few months against NAB, his corruption i…",agree,,
Sikander Bakht Sedhan,RT @AzarMx: Just realized that a massive movement such as #PDM should have some branding. So here's PDMs all new logo. Hope you'll figure i…,agree,,
Mosam shinwari,"RT @Noor1nsafian: The killer Rao Anwar is still roaming freely in state protocol.
#Justice4NaqibMehsud 
#PDM
#TumKharayThay
@BBhuttoZardari…",angry,,
AzarM,Just realized that a massive movement such as #PDM should have some branding. So here's PDMs all new logo. Hope you… https://t.co/7mB3o5bJX5,agree,,
?????????,"RT @BlissfulSahir: When you reach the end of your rope, tie a knot in it and hang on.

-Franklin D. Roosevelt

#imrankhanPTI 
#PTI 
#PAKIST…",disagree,,
GoEngineer,#DraftSight for #SOLIDWORKS #PDM add-in allows a user to perform file vault opertations from within the DraftSight… https://t.co/v3ldhOuPh4,agree,,
Champ,RT @MishelKhan12: @MaleehaHashmey #PDM Pakistan Daku Movement flops all their planning fails against Pakistan. Long live Prime Minister Imr…,disagree,,
Omer Pashtoon,RT @NisarGandapur2: We did not make #PDM against @ImranKhanPTI. We made the PDM because the people have to decide that the army is for Paki…,agree,,
Aijaz Ali Memon,"RT @AamNewsOfficial: DGISPR PRESS CONFERENCE:

@ImranKhanPTI 
@OfficialDGISPR 

#DGISPR
#Pressconference
#Rawalpindi
#GHQ 
#PDM 
#MolanaFa…",neutral,,
MishelKhan,@MaleehaHashmey #PDM Pakistan Daku Movement flops all their planning fails against Pakistan. Long live Prime Minist… https://t.co/Aj0i9omizY,disagree,,
Abisoye Falabi,"RT @BuiltInLA: Product teams often know that a project needs to change direction, but they don’t have a way to do it safely and quickly. Ou…",neutral,,
ProductCraft,"RT @BuiltInLA: Product teams often know that a project needs to change direction, but they don’t have a way to do it safely and quickly. Ou…",neutral,,
Hinna,People who destroy whole nation do not have the right to teach us democracy &amp; the values of living freely.… https://t.co/pa3kkMmEyH,neutral,,
Adam Thomas,"RT @BuiltInLA: Product teams often know that a project needs to change direction, but they don’t have a way to do it safely and quickly. Ou…",neutral,,
Built In Los Angeles,"Product teams often know that a project needs to change direction, but they don’t have a way to do it safely and qu… https://t.co/El9GcPJaPk",neutral,,
Dr Pashtun Ghadar,"RT @Noor1nsafian: The killer Rao Anwar is still roaming freely in state protocol.
#Justice4NaqibMehsud 
#PDM
#TumKharayThay
@BBhuttoZardari…",angry,,
Muhammad Sarfaraz,RT @NawabAliKhan7: When will NAB open its eyes and start investigating the BRT scam? This is Khyber bazar section. Photo credits Mehmood As…,angry,,
Ameer Muhammad Tareen Advocate,Those who talk of resigning from the Assemblies are busy participating in the by-elections and preparing for the Se… https://t.co/DFPoFFwYcc,disagree,,
Gaz Khan #SaveKashmirSaveLives,"@ImranKhanPTI Agreed. Where is the money the Prime Minister promised he will bring back to Pakistan. The truth is,… https://t.co/3kDoLJvYLh",angry,,
?????,"RT @hamzafarrukh: In a world of #PDM vs #PTI, let's keep reminding ourselves what matters most in #Pakistan: 73 years of independence has n…",agree,,
Sachin Dixit,"RT @thenews_intl: ""Sometimes he says there should be a system modeled after Madina, sometimes he calls for a Chinese system,"" says #PDM chi…",sarcastic,,
Shahid Anjum,"RT @appcsocialmedia: #Broadsheet Company case exposed #corruption of political elite: @ShazadAkbar 

#APPNews #PDM @MoIB_Official 

https:…",angry,,
Sheeraz Ahmed,"RT @thenews_intl: ""Sometimes he says there should be a system modeled after Madina, sometimes he calls for a Chinese system,"" says #PDM chi…",agree,,
Asmat Ullah,"RT @Noor1nsafian: The killer Rao Anwar is still roaming freely in state protocol.
#Justice4NaqibMehsud 
#PDM
#TumKharayThay
@BBhuttoZardari…",angry,,
Ali,"https://t.co/nrnGanNSkI
@OfficialDPRPP @ICT_Police sir, make law, no police officer get courage to touch the civili… https://t.co/YzNAShDMIA",disagree,,
Muhammad Adnan Bashir,"Please For God Sake and STOP this Nonsense Of Closing Schools, Colleges and Universities, According To current Situ… https://t.co/N2seaOYL1V",disagree,,
The News,"""Sometimes he says there should be a system modeled after Madina, sometimes he calls for a Chinese system,"" says… https://t.co/WgRsdirq6H",agree,,
Umar Zaman,"@Bajwas24 ?????? Enjoy for a while, Corrupt Puppet, people will soon get you! @ImranKhanPTI #PDM @pmln_org @PPP_Org https://t.co/XiwWc6p0qI",disagree,,
?,"RT @BuiltIn: Product teams often know that a project needs to change direction, but they don’t have a way to do it safely and quickly. Our…",neutral,,
Abdul Nabi Khoso,"RT @TeamLalaMuradKh: Today, Met President PPP Sindh Nisar Ahmed Khuhro Sb at his residence in Karachi. PSF being the frontline force of Cha…",neutral,,
Gurbax singh bains,RT @mughalbha: RED ZONE FILES: The Dar disaster https://t.co/xsEtBc3j3t Firm #PervezMusharraf hired to probe Sharifs ended up seeking Shari…,agree,,
Khan A Shahid,RT @mughalbha: RED ZONE FILES: The Dar disaster https://t.co/xsEtBc3j3t Firm #PervezMusharraf hired to probe Sharifs ended up seeking Shari…,agree,,
Halar Jamali (PSF),"RT @TeamLalaMuradKh: Today, Met President PPP Sindh Nisar Ahmed Khuhro Sb at his residence in Karachi. PSF being the frontline force of Cha…",neutral,,
Adam Thomas,"RT @BuiltIn: Product teams often know that a project needs to change direction, but they don’t have a way to do it safely and quickly. Our…",neutral,,
Aamir Mughal,RED ZONE FILES: The Dar disaster https://t.co/xsEtBc3j3t Firm #PervezMusharraf hired to probe Sharifs ended up seek… https://t.co/zaImtZnaQs,agree,,
Shahzad Shah Jillani,RT @mughalbha: Broadsheet seeks Rs337m more https://t.co/B5s8QoNEb9 #Broadsheet LLC has written to the lawyers of #NAB in London seeking an…,neutral,,
Shahzad Shah Jillani,RT @mughalbha: Mystery deepens over who authorised payment of $1.5m https://t.co/MXqInqBhRh (by @UmarCheema1 ) Mystery resolved by Mr Kaveh…,neutral,,
Shahzad Shah Jillani,"RT @mughalbha: A US based online magazine owned by a US citizen Mr Shaheen Sehbai, wrote ?? MT @YousufNazar Nov 2003: “Maleeha Lodhi’s Fugit…",neutral,,
Shahzad Shah Jillani,RT @mughalbha: Broadsheet seeks Rs337m more https://t.co/B5s8QoNEb9 The Broadsheet LLC has written to the lawyers of NAB in London seeking…,neutral,,
Shahzad Shah Jillani,"RT @mughalbha: Mystery deepens over who authorised payment of $1.5m https://t.co/MXqInqBhRh ( by @UmarCheema1 ) 

#AbolishNAB #NAB #PDM #Na…",neutral,,
Shahzad Shah Jillani,RT @mughalbha: 2 - Broadsheet was hired by Gen #PervezMusharraf some 20 years ago to investigate the offshore property of #NawazSharif ende…,disagree,,
Shahzad Shah Jillani,RT @mughalbha: 1 - Broadsheet was hired by Gen #PervezMusharraf some 20 years ago to investigate the offshore property of #NawazSharif ende…,disagree,,
AS¡M SaRwaR,"RT @The_SaniKhan: PM #AJK @farooq_pm You Have A Message From @HamidMirPAK Have A Look

You Not Listening Own People, Atleast Listen Him !…",neutral,,
BhulekhaTv (Punjabi News Channel),"Shamah basit
Click on the link to read on website
https://t.co/3JSD3l7WZJ
.
#Bhulekhatv #Dailybhulekha… https://t.co/vCFZOvyCzZ",neutral,,
Built In,"Product teams often know that a project needs to change direction, but they don’t have a way to do it safely and qu… https://t.co/OYuTBgtn1N",neutral,,
?? ?? ???? ??????? ?,"RT @appcsocialmedia: #Broadsheet Company case exposed #corruption of political elite: @ShazadAkbar 

#APPNews #PDM @MoIB_Official 

https:…",angry,,
JUI SMT Thatta,"RT @Nizamuddin5033: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/pCDPh4i2bj",agree,,
??????,"PM #AJK @farooq_pm You Have A Message From @HamidMirPAK Have A Look

You Not Listening Own People, Atleast Listen H… https://t.co/6PX1DxUS3c",neutral,,
APP ????,"#Broadsheet Company case exposed #corruption of political elite: @ShazadAkbar 

#APPNews #PDM @MoIB_Official… https://t.co/EuRoGlkUcq",disagree,,
?? ???????? ???,"RT @ys0s3ri0us: #PakistanShocksIndia
#pdm reaction to see this poll https://t.co/EloznYog3q",neutral,,
Noor Insafian ???? ?,"The killer Rao Anwar is still roaming freely in state protocol.
#Justice4NaqibMehsud 
#PDM
#TumKharayThay… https://t.co/eVBaBF9bXQ",angry,,
burger wala????????,"RT @ys0s3ri0us: #PakistanShocksIndia
#pdm reaction to see this poll https://t.co/EloznYog3q",neutral,,
Huma Jahanzeb,"250K votes to Khan sb ko without even asking he par gaye, and then they say he is SELECTED 

#ImranKhan #iccpoll… https://t.co/ERmNXoPzIr",sarcastic,,
Kashif Awan,"@MaryamNSharif 
@BBhuttoZardari 
@MoulanaOfficial 
#PDM 

India is 6 times bigger than Pakistan couldn't beat #Khan… https://t.co/baAxKsh4JD",agree,,
Muhammad Ali Munir,"Sun lia #PTI 
#PDM will eat you https://t.co/S8yCvr9s1O",sarcastic,,
Built In NYC,"Product teams often know that a project needs to change direction, but they don’t have a way to do it safely and qu… https://t.co/uqIVKoZlQd",neutral,,
Alexey Moiseyev,"Greetings from the international expansion team:
https://t.co/vm31gRNwTj

We are here to make the #PdM globally ado… https://t.co/kUNGUFXIJ9",neutral,,
Waqas Ali,#PDM position right now https://t.co/9y3GoG2y09,agree,,
Ansar Khan,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
MJ??????,@mubasherlucman That's because we think the only person to look after Pakistan and our house is Imran Khan. Don't w… https://t.co/P9XnnB4Szf,disagree,,
PMLN Lioness??,"RT @NPPNewsTV: PMLN Spokesperson @Marriyum_A Aggressive on Government While Doing Media Talk

@Marriyumkafan #PMLN #PDM #NAB #CongratsPMIK…",agree,,
PMLN Lioness??,"RT @NPPNewsTV: @kdastgirkhan Dastagir Media Talk 

#KhurramDastagir #PMLN #Government #PDM #Politics #CongratsPMIK #PakistanShocksIndia Ind…",disagree,,
Nafis Nighat,"RT @NaumanHannani: #imrankhanPTI #PDM #PakistanZindabad #NawazSharif #NAB #IrfanHashmi #KavehMoussavi #PPP 

@ImranKhanPTI (cc @KavehMouss…",neutral,,
Nafis Nighat,"RT @NaumanHannani: It will great if Broadsheet UK returns 28.7 MUSD to Pakistan against a potential 20% share of ""future corruption money f…",disagree,,
Bilal Hussain Mirani,"RT @ys0s3ri0us: #PakistanShocksIndia
#pdm reaction to see this poll https://t.co/EloznYog3q",neutral,,
Faisal Mahmood Indher,"RT @geonews_english: #PDM chief says Opposition parties will protest outside Election Commission of Pakistan on January 19.

#GeoNews",agree,,
Geo English,"#PDM chief says Opposition parties will protest outside Election Commission of Pakistan on January 19.

#GeoNews",agree,,
lets put a smile on that face,"#PakistanShocksIndia
#pdm reaction to see this poll https://t.co/EloznYog3q",neutral,,
???? ???? ????,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
Ch Khurram Mushtaq,@NadeemAfzalChan resigns from his office more to go soon. #PDM https://t.co/6j97sGzpR0,agree,,
???????????? ??????????,"RT @NPPNewsTV: @kdastgirkhan Dastagir Media Talk 

#KhurramDastagir #PMLN #Government #PDM #Politics #CongratsPMIK #PakistanShocksIndia Ind…",neutral,,
???????????? ??????????,"RT @NPPNewsTV: @murtazawahab1 Press Conference 

#MurtazaWahab #PPP #SindhGovernment #PDM #SaveNaturalResources #CongratsPMIK #PakistanShoc…",disagree,,
F@isal,"RT @ChaudriIrfan1: Now you understand why MandwiWala has been ripping his clothes off for the last few months against NAB, his corruption i…",angry,,
Ehsaan Qadri,"Is #PakistanArmy's sudden offer of tea to #PDM members an act of aid to the civilian leadership? ?? @OfficialDGISPR

https://t.co/5ubLKquQ6s",sarcastic,,
Abdul Wakeel Kakar,RT @NisarGandapur2: We did not make #PDM against @ImranKhanPTI. We made the PDM because the people have to decide that the army is for Paki…,agree,,
Shaz Malik,"RT @ChaudriIrfan1: Now you understand why MandwiWala has been ripping his clothes off for the last few months against NAB, his corruption i…",angry,,
Bhangra Bot,"RT @pdmliveband: ?? Ticket To Panjab
“Always remember your roots. Never forget, they are the foundation of your life and the wings of your…",neutral,,
Sana Khan,RT @sayedzbukhari: These are Pakistan’s children being forced to come out &amp; protest to save national wealth looted by FazluRehman &amp; the #PD…,angry,,
Nasir Mahmood,"RT @ChaudriIrfan1: Now you understand why MandwiWala has been ripping his clothes off for the last few months against NAB, his corruption i…",angry,,
Sa?is?,"RT @ChaudriIrfan1: Now you understand why MandwiWala has been ripping his clothes off for the last few months against NAB, his corruption i…",angry,,
Frankly Speaking,"Good boys in #PDMLoralaiJalsa. 
#PDM will never speak about them . https://t.co/yWorcKYa0H",agree,,
M Shayan Sami,"RT @ChaudriIrfan1: Now you understand why MandwiWala has been ripping his clothes off for the last few months against NAB, his corruption i…",angry,,
Irfan,"Now you understand why MandwiWala has been ripping his clothes off for the last few months against NAB, his corrupt… https://t.co/Y598tftu1u",neutral,,
Sat Mann ??#THESMT podcast,"RT @pdmliveband: ?? Ticket To Panjab
“Always remember your roots. Never forget, they are the foundation of your life and the wings of your…",neutral,,
Nabeel IndHar,"RT @HullioSikandar: If #PDM comes to #Rawalpindi, we'll offer them tea. - DG ISPR 

You eat Papa Jones Pizza yourself and make us drink onl…",sarcastic,,
Shams Khan 123,"RT @AhsanAbbasJ: #???_????_??????? 
#PDM against PM Imran khan and Pakistan army 
#????_??????_?????",disagree,,
Inside Pakistan With Muhammad Zafeer,"Watch Tonight 10:05 PM On K21 News
Repeat at 11:05 AM
#PPP
#PTI
#PDM
#Government
#K21News… https://t.co/yIHJmQNCdK",neutral,,
Nazia Khan,RT @mughalbha: 1 - Havoc wreaked by former finance minister #IshaqDar ‘s interview in BBC’s show Hardtalk. https://t.co/xsEtBc3j3t | #Broad…,agree,,
NPP News TV,"@murtazawahab1 Press Conference 

#MurtazaWahab #PPP #SindhGovernment #PDM #SaveNaturalResources #CongratsPMIK… https://t.co/S6hcqqK8La",agree,,
Waleed Asghar,RT @mughalbha: 1 - Havoc wreaked by former finance minister #IshaqDar ‘s interview in BBC’s show Hardtalk. https://t.co/xsEtBc3j3t | #Broad…,agree,,
Maqsood Asi ????,RT @mughalbha: 1 - Havoc wreaked by former finance minister #IshaqDar ‘s interview in BBC’s show Hardtalk. https://t.co/xsEtBc3j3t | #Broad…,agree,,
Muhammad Yahya,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
Rebel Girl,"RT @iam_roha: Okay !!! Don't be Jealous #PDM 
#PakistanShocksIndia #CongratsPMIK #EmergingPakistanWithPMIK https://t.co/WEJUGgmAyC",agree,,
Aamir Mughal,1 - Havoc wreaked by former finance minister #IshaqDar ‘s interview in BBC’s show Hardtalk. https://t.co/xsEtBc3j3t… https://t.co/uJuKYjKZ7M,agree,,
MaNi,"RT @AhsanAbbasJ: #???_????_??????? 
#PDM against PM Imran khan and Pakistan army 
#????_??????_?????",disagree,,
NPP News TV,"@kdastgirkhan Dastagir Media Talk 

#KhurramDastagir #PMLN #Government #PDM #Politics #CongratsPMIK… https://t.co/Dxe9Ysu0aB",disagree,,
pakistan...,RT @The_Source_inc: A few pakistani think that kohli might come on #pdm stage next time they rally against #imrankhan government but i don'…,disagree,,
MeharZaada,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
Aamir Mughal,Broadsheet seeks Rs337m more https://t.co/B5s8QoNEb9 #Broadsheet LLC has written to the lawyers of #NAB in London s… https://t.co/5hxXtpr2Yp,neutral,,
Muhammad Hussain,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
NPP News TV,"PMLN Spokesperson @Marriyum_A Aggressive on Government While Doing Media Talk

@Marriyumkafan #PMLN #PDM #NAB… https://t.co/T7NkOhbpor",angry,,
lmRaN MaHiR,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
Irfan Khan/?????????? ??,"RT @AhsanAbbasJ: #???_????_??????? 
#PDM against PM Imran khan and Pakistan army 
#????_??????_?????",disagree,,
Juhaina Bajwa,"Naqeebullah Mehsud, a 27 yr old man was killed in a fake encounter 3 yrs ago by SSP Lahore, Rao Anwar. Framing an i… https://t.co/sOm0aEH2yO",angry,,
Saddam Hussain,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
The Source,A few pakistani think that kohli might come on #pdm stage next time they rally against #imrankhan government but i… https://t.co/qTaIq7geta,disagree,,
Aamir Mughal,Mystery deepens over who authorised payment of $1.5m https://t.co/MXqInqBhRh (by @UmarCheema1 ) Mystery resolved by… https://t.co/FLyh3e34Sn,neutral,,
Meer Wais Khan,RT @NisarGandapur2: We did not make #PDM against @ImranKhanPTI. We made the PDM because the people have to decide that the army is for Paki…,agree,,
The_Nation,"Madrassa students must not be allowed to attend PDM rallies: PM Imran
https://t.co/yItcyOIrH7

#PDM 

@ImranKhanPTI https://t.co/xowK6S2vcF",disagree,,
bilal khan,"RT @iamshamalkhan: There are all parties in #PDM..
Not only #JUIF.
#PDMLoralaiJalsa",agree,,
Mrs.Raza,"RT @appcsocialmedia: #Opposition movement, just a failed rescue operation; lacks moral justification: @fawadchaudhry 

#APPNews #PDM @MoIB_…",disagree,,
Nisar Gandapur,We did not make #PDM against @ImranKhanPTI. We made the PDM because the people have to decide that the army is for… https://t.co/2a7YhdQTsk,agree,,
Sana Iqbal,"RT @AhsanAbbasJ: #???_????_??????? 
#PDM against PM Imran khan and Pakistan army 
#????_??????_?????",disagree,,
Dilawar Hussain Soomro ( PSF )????,"RT @TeamLalaMuradKh: Today, Met President PPP Sindh Nisar Ahmed Khuhro Sb at his residence in Karachi. PSF being the frontline force of Cha…",agree,,
Dilawar Hussain Soomro ( PSF )????,"RT @LalaMuradKhan: Today, Met President PPP Sindh Nisar Ahmed Khuhro Sb at his residence in Karachi. PSF being the frontline force of Chair…",agree,,
@a.raheem baloch3,RT @VishalSehgal4U: A big turn out of supporters was witnessed at the #PDM rally in #Loralai against the incumbent #ImranKhan government. T…,agree,,
@a.raheem baloch3,RT @VishalSehgal4U: #MaulanaFazlurRehman believes that the government has no moral justification to remain in power &amp; #PMImranKhan will hav…,agree,,
Ghulam Qadir,RT @VishalSehgal4U: A big turn out of supporters was witnessed at the #PDM rally in #Loralai against the incumbent #ImranKhan government. T…,agree,,
Ghulam Qadir,RT @VishalSehgal4U: #MaulanaFazlurRehman believes that the government has no moral justification to remain in power &amp; #PMImranKhan will hav…,agree,,
Slahuddin Soomro,RT @VishalSehgal4U: #MaulanaFazlurRehman believes that the government has no moral justification to remain in power &amp; #PMImranKhan will hav…,agree,,
Vishal Sehgal,#MaulanaFazlurRehman believes that the government has no moral justification to remain in power &amp; #PMImranKhan will… https://t.co/ldQYXgdLOO,agree,,
Hafiz Hasnain Muavia(PMLN???? ???? ????? ??? ????),"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
???????? ?????? ?????????? ??,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
hamadullahdauod,RT @VishalSehgal4U: A big turn out of supporters was witnessed at the #PDM rally in #Loralai against the incumbent #ImranKhan government. T…,agree,,
Hazratjan,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
rooman khan,"RT @AhsanAbbasJ: #???_????_??????? 
#PDM against PM Imran khan and Pakistan army 
#????_??????_????? https://t.co/51F7SK3wQh",disagree,,
Vishal Sehgal,A big turn out of supporters was witnessed at the #PDM rally in #Loralai against the incumbent #ImranKhan governmen… https://t.co/5Eo2hidK8p,neutral,,
Jawad Alam,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
Naeem-ul-hasnat (??? ???? ???),"RT @iam_roha: Okay !!! Don't be Jealous #PDM 
#PakistanShocksIndia #CongratsPMIK #EmergingPakistanWithPMIK https://t.co/WEJUGgmAyC",sarcastic,,
Awais Ali,RT @DrZAQ11: #PDM was Looking Cool Till ....... https://t.co/6rEEXGw3V6,sarcastic,,
Pakistan TakeOff,"RT @AhsanAbbasJ: #???_????_??????? 
#PDM against PM Imran khan and Pakistan army 
#????_??????_?????",disagree,,
Momin Khan ANP,"RT @iamshamalkhan: There are all parties in #PDM..
Not only #JUIF.
#PDMLoralaiJalsa",neutral,,
Abdul Ghani Kakar,"My take on #PDM allegations on #PTI and current government ?

#PDMLoralaiJalsa #PTIGovernment #Balochistan #Quetta… https://t.co/Nktx2CbmSu",agree,,
????? ??????? ???,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
R o h a J a v e d ????,"Okay !!! Don't be Jealous #PDM 
#PakistanShocksIndia #CongratsPMIK #EmergingPakistanWithPMIK https://t.co/WEJUGgmAyC",sarcastic,,
Shabnumbahar,"RT @AhsanAbbasJ: #???_????_??????? 
#PDM against PM Imran khan and Pakistan army 
#????_??????_?????",disagree,,
??????? ???,"@ICC Pak Vs Ind(#Patwari+#PPP+#PDM+#PTM)
1.5billion Vs 20 Crore
and the winner is The #CharmingKhan. ???",disagree,,
Mahar Kaleem Ullah Haral,"Maulana's assets are not hidden anymore: Murad Saeed
MuradSaeed #FazalUrRehman #NAB #PDM #Islamabad Maulana's asset… https://t.co/UKsU39nfUJ",angry,,
?? S@H????,"#???_????_??????? 
#PDM against PM Imran khan and Pakistan army 
#????_??????_????? https://t.co/51F7SK3wQh",disagree,,
?? ?????,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
Tol_Capone,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
Mufti Abdul Wahid Qureshi,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
Umar Daraz Gondal,"@imVkohli announced to join #PDM protest against @ImranKhanPTI ??????

#PakistanShocksIndia",sarcastic,,
Raheem Bux mazari (PSF),"RT @LalaMuradKhan: Today, Met President PPP Sindh Nisar Ahmed Khuhro Sb at his residence in Karachi. PSF being the frontline force of Chair…",neutral,,
Muhammad Shoaib Quraishi,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
Inam Azal Afd...,"RT @iamshamalkhan: There are all parties in #PDM..
Not only #JUIF.
#PDMLoralaiJalsa",neutral,,
Shamal Khan,"#PDM is the collation of All democratic parties.
#PDMLoralaiJalsa",agree,,
Abdul Sattar,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
Malak Suhail,"RT @iamshamalkhan: There are all parties in #PDM..
Not only #JUIF.
#PDMLoralaiJalsa",neutral,,
Shamal Khan,"There are all parties in #PDM..
Not only #JUIF.
#PDMLoralaiJalsa",neutral,,
Kamran khan,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
Zain Ali,Virat Kohli will join #PDM movement soon ....!?? Establishment ne ICC polls mein harwa diya??,sarcastic,,
bilal khan,RT @syedShoaib_11: My Hometown welcomes the Leadership of #PDM with open arms and warm heart.All the preparations have been made by the hos…,agree,,
Ghulam Qadir,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
Farhad Ullah(?????? ?????),"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
Kafia Shah .... (????),"RT @TeamLalaMuradKh: Today, Met President PPP Sindh Nisar Ahmed Khuhro Sb at his residence in Karachi. PSF being the frontline force of Cha…",neutral,,
Public News,"#PDM long march will never take place, says Liaquat Shahwani

https://t.co/6bJWDz4QRx

#PublicNewsLive #PublicNews… https://t.co/JILqgKVVNj",neutral,,
???? ???? ????? ????,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
APP ????,"#Opposition movement, just a failed rescue operation; lacks moral justification: @fawadchaudhry 

#APPNews #PDM… https://t.co/XZthdaK3tk",disagree,,
Naqeebullah,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
???? ????? ?????????,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
Syed Rehmat Ullah,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
The Jamiat News_1,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
Ahmad Hassan,RT @DrZAQ11: #PDM was Looking Cool Till ....... https://t.co/6rEEXGw3V6,sarcastic,,
Ubaid Sindhi || JUI SMT THATTA,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
azmir rasani,RT @DrZAQ11: #PDM was Looking Cool Till ....... https://t.co/6rEEXGw3V6,sarcastic,,
Mk Arbab,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
VOD Urdu,RT @PatelMayawati: #PDM #Loralai jalsa is supporting Hanif Pashteen the killer of Pashtun policemen in Peshawar. And qazi tahir who is memb…,disagree,,
